Algorithm,Size,Time(ns),Comparisons,Swaps,Copies,Calls,MaxDepth
mergesort,100,728852,564,133,800,31,5
quicksort,100,954636,655,434,0,66,12
select,100,1307710,98,51,0,7,7
closestpair,100,7778283,629,0,0,63,6
mergesort,1000,1648972,9075,1648,14000,255,8
quicksort,1000,1147050,11013,5832,0,694,19
select,1000,985172,1100,507,0,9,9
closestpair,1000,8112170,9726,0,0,511,9
mergesort,10000,3373551,127144,21939,200000,2047,11
quicksort,10000,3565264,175804,62984,0,9001,34
select,10000,3855947,9866,5054,0,12,12
closestpair,10000,25194023,130887,0,0,7711,13
mergesort,100000,45421251,1557898,127871,2800000,32767,15
quicksort,100000,29597179,6378872,765390,0,99000,137
select,100000,30717304,100230,50218,0,16,16
closestpair,100000,194549371,1626383,0,0,65535,16
